state,district,rainfall_recharge_monsoon_ham,other_recharge_monsoon_ham,rainfall_recharge_nonmonsoon_ham,other_recharge_nonmonsoon_ham,annual_groundwater_recharge_ham,natural_discharges_ham,annual_extractable_groundwater_resource_ham,gw_extraction_irrigation_ham,gw_extraction_industrial_ham,gw_extraction_domestic_ham,current_annual_groundwater_extraction_ham,annual_gw_allocation_domestic_2035_ham,net_groundwater_availability_future_use_ham,stage_groundwater_extraction_pct,derived_stage_class,source_id,source_year,source_url,data_status
Delhi,East,138.5,514.14,8.25,1007.43,1668.32,166.83,1501.49,118.99,0.2,1328.59,1447.79,1530.34,72.21,96.42,CRITICAL,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Delhi,Nazul Land,368.56,68.12,21.96,112.78,571.42,57.14,514.28,232.8,0.0,105.12,337.92,105.12,176.36,65.71,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Delhi,New Delhi,1055.88,659.35,62.91,1250.84,3028.98,302.91,2726.07,686.87,2.2,2670.58,3359.65,2841.71,8.57,123.24,OVER_EXPLOITED,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Delhi,North,2170.67,826.36,129.32,1598.17,4724.52,472.46,4252.06,491.8,50.31,3247.7,3789.81,3534.67,462.25,89.13,SEMI_CRITICAL,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Delhi,North East,171.96,546.88,12.01,1082.75,1813.6,181.37,1632.23,154.72,0.0,1575.66,1730.39,1627.14,50.42,106.01,OVER_EXPLOITED,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Delhi,North West,1223.58,869.32,72.89,1707.67,3873.46,387.33,3486.13,511.32,0.56,1747.99,2259.86,2691.55,1226.26,64.82,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Delhi,Shahdara,139.5,510.11,9.33,991.66,1650.6,165.05,1485.55,338.43,0.5,1328.02,1666.96,1548.81,13.3,112.21,OVER_EXPLOITED,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Delhi,South,1117.35,1136.76,66.56,2206.58,4527.25,452.72,4074.53,709.9,0.0,3503.63,4213.53,3503.63,138.13,103.41,OVER_EXPLOITED,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Delhi,South East,611.99,681.88,36.46,1333.8,2664.13,266.42,2397.71,220.17,12.74,1883.04,2115.95,1939.96,224.84,88.25,SEMI_CRITICAL,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Delhi,South West,2755.86,1590.89,164.18,2868.86,7379.79,737.98,6641.81,3981.46,0.0,1906.72,5888.2,3220.43,137.68,88.65,SEMI_CRITICAL,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
