state_code,state,district_code,district,state_census2011_code,district_census2011_code,source_id,source_year,source_url
23,Madhya Pradesh,413,Katni,23,450,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,202,Khagaria,10,223,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
2,Himachal Pradesh,19,Kinnaur,02,034,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
13,Nagaland,614,Kiphire,13,269,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,203,Kishanganj,10,210,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
20,Jharkhand,334,Koderma,20,348,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
29,Karnataka,543,Koppal,29,560,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
8,Rajasthan,782,Kotputli-Behror,08,NA,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
32,Kerala,560,Kottayam,32,597,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
32,Kerala,561,Kozhikode,32,591,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
28,Andhra Pradesh,510,Krishna,28,547,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
1,Jammu And Kashmir,622,Kulgam,01,015,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
1,Jammu And Kashmir,8,Kupwara,01,001,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
28,Andhra Pradesh,511,Kurnool,28,552,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,204,Lakhisarai,10,227,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,481,Latur,27,524,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
15,Mizoram,265,Lunglei,15,286,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,688,Mahabubabad,00,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
24,Gujarat,451,Mahesana,24,471,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,164,Mahrajganj,09,187,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
15,Mizoram,266,Mamit,15,281,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
2,Himachal Pradesh,22,Mandi,02,027,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
22,Chhattisgarh,760,Manendragarh-Chirmiri-Bharatpur(M C B),22,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
21,Odisha,365,Mayurbhanj,21,376,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,700,Medchal Malkajgiri,00,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
23,Madhya Pradesh,417,Morena,23,419,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
19,West Bengal,319,Murshidabad,19,333,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
21,Odisha,366,Nabarangpur,21,397,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
19,West Bengal,320,Nadia,19,336,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,485,Nanded,27,511,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,486,Nandurbar,27,497,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
36,Telangana,721,Narayanpet,00,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
